Aplicação,Métrica,Algoritmo,Erro médio absoluto,Erro médio quadrado,Coeficiente de determinação (R²),Tempo de execução(em segundos),API
at1-script-gw.script-gw-_,MEMORY,XGBoost,"0,402109","0,311590","0,000000","1,291309",API 2
at1-script-gw.script-gw-_,MEMORY,AutoArima,"0,455925","0,381019","-63,708753","351,778226",API 2
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),MEMORY,Redes Neurais Recorrentes,"0,008865","0,001644","0,989174","331,162667",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),MEMORY,Redes Neurais Convolucionais,"0,489912","0,389423","-1,621068","143,099241",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),MEMORY,XGBoost,"0,402109","0,311590","0,000000","1,291309",API 3
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),MEMORY,AutoArima,"0,404606","0,318070","-112,822238","397,456183",API 3
atl-ce-routing.scg-router-app_,MEMORY,Redes Neurais Recorrentes,"0,038613","0,003863","0,953732","331,098100",API 4
atl-ce-routing.scg-router-app_,MEMORY,Redes Neurais Convolucionais,"0,412934","0,269231","-1,743047","41,927676",API 4
atl-ce-routing.scg-router-app_,MEMORY,XGBoost,"0,303483","0,187876","-86.173,696457","0,907020",API 4
atl-ce-routing.scg-router-app_,MEMORY,AutoArima,"1,394579","2,041451","0,000000","708,803481",API 4
Azure DevOps Server (tfs)_,MEMORY,Redes Neurais Recorrentes,"0,259789","0,112048","0,889386","208,475932",API 5
Azure DevOps Server (tfs)_,MEMORY,Redes Neurais Convolucionais,"0,886960","1,207889","-0,015682","82,889247",API 5
Azure DevOps Server (tfs)_,MEMORY,XGBoost,"1,033827","1,640444","-12,634588","1,838412",API 5
Azure DevOps Server (tfs)_,MEMORY,AutoArima,"0,993354","1,566013","-15,802639","559,356361",API 5
BATCH Dell.Pricing.Discount.WebApi_,MEMORY,Redes Neurais Recorrentes,"0,618929","1,012614","0,939986","330,766288",API 6
BATCH Dell.Pricing.Discount.WebApi_,MEMORY,Redes Neurais Convolucionais,"3,256453","22,292077","-0,220247","69,601925",API 6
BATCH Dell.Pricing.Discount.WebApi_,MEMORY,XGBoost,"6,002892","50,514325","-2,944355","3,228747",API 6
BATCH Dell.Pricing.Discount.WebApi_,MEMORY,AutoArima,"7,555627","69,662396","-39,321972","518,256779",API 6
BATCH EM DCP.PricingService_,MEMORY,Redes Neurais Recorrentes,"0,027270","0,001687","0,650363","330,117986",API 7
BATCH EM DCP.PricingService_,MEMORY,Redes Neurais Convolucionais,"0,045168","0,006308","-0,021895","83,218957",API 7
BATCH EM DCP.PricingService_,MEMORY,XGBoost,"0,074164","0,008034","-43,071894","3,655873",API 7
BATCH EM DCP.PricingService_,MEMORY,AutoArima,"0,060041","0,009119","-3,611307","755,121037",API 7
dell.com_shop,MEMORY,Redes Neurais Recorrentes,"0,086660","0,016835","0,818905","330,934275",API 8
dell.com_shop,MEMORY,Redes Neurais Convolucionais,"0,261065","0,115140","-0,408628","82,924536",API 8
dell.com_shop,MEMORY,XGBoost,"0,930730","0,983765","-38,235895","-38,235895",API 8
dell.com_shop,MEMORY,AutoArima,"0,807503","1,440663","-0,745528","359,837056",API 8
BATCH SnpServiceAPI_,MEMORY,Redes Neurais Recorrentes,"0,005055","9,103084","0,423935","331,453381",API 9
BATCH SnpServiceAPI_,MEMORY,Redes Neurais Convolucionais,"0,013473","0,000393","-0,148729","44,518397",API 9
BATCH SnpServiceAPI_,MEMORY,XGBoost,"0,012165","0,000323","-28,742717","1,465075",API 9
BATCH SnpServiceAPI_,MEMORY,AutoArima,"0,014827","0,000940","-0,939590","456,932388",API 9
_.dellsvc,REQUEST,Redes Neurais Recorrentes,"53.138,658271","14.429.597.290,762800","0,401308","330,737334",API 1
_.dellsvc,REQUEST,Redes Neurais Convolucionais,"160.667,692878","69.060.655.021,018700","-0,544807","82,701599",API 1
_.dellsvc,REQUEST,XGBoost,"138.875,788303","56.465.501.531,142900","-95,992013","1,831230",API 1
